id,fuel,passengers,planesAtThatTime,priority,timeToArrive,timeWaited
QatarAirways7,17.0,40,11,2,10,0
QatarAirways7,16.0,40,10,2,9,0
QatarAirways7,15.0,40,12,2,8,0
QatarAirways7,14.0,40,14,2,7,0
QatarAirways7,13.0,40,14,2,6,0
QatarAirways7,12.0,40,15,2,5,0
QatarAirways7,11.0,40,16,2,4,0
QatarAirways7,10.0,40,17,2,3,0
QatarAirways7,9.0,40,15,2,2,0
QatarAirways7,8.0,40,15,2,1,0
QatarAirways7,7.0,40,17,2,0,0
AmericanAirlines8,19.0,40,10,1,10,2
AmericanAirlines8,18.0,40,11,1,9,2
AmericanAirlines8,17.0,40,10,1,8,2
AmericanAirlines8,16.0,40,9,1,7,2
AmericanAirlines8,15.0,40,13,1,6,2
AmericanAirlines8,14.0,40,14,1,5,2
AmericanAirlines8,13.0,40,14,1,4,2
